height,ir
24,2397
24,2396
24,2396
24,2397
24,2398
24,2397
24,2398
24,2399
24,2400
24,2398
24,2398
24,2399
24,2398
24,2397
24,2396
24,2398
22,1981
22,2816
22,2816
22,2816
22,2816
22,2818
22,2816
22,2816
22,2816
22,2816
22,2817
22,2816
22,2816
22,2816
22,2816
22,2819
22,2816
22,2816
22,2816
22,2816
22,2816
22,2816
22,2816
22,2816
22,2816
22,2818
22,2816
22,2816
22,2816
22,2810
22,2816
22,2825
22,2816
22,2816
22,2816
22,2816
22,2816
22,2816
22,2816
22,2816
22,2816
22,2816
22,2807
22,2816
22,2816
22,2816
22,2816
22,2816
22,2816
22,2816
20,2092
20,2771
20,2773
20,2771
20,2772
20,2770
20,2776
20,2772
20,2772
20,2772
20,2770
20,2776
20,2770
20,2773
20,2772
20,2773
20,2777
20,2773
20,2772
20,2772
20,2770
20,2770
20,2770
20,2771
20,2772
20,2770
20,2771
20,2776
20,2770
20,2771
20,2772
20,2772
20,2777
20,2771
20,2772
20,2771
20,2774
20,2772
20,2772
20,2775
20,2772
20,2772
20,2771
20,2777
20,2770
20,2773
20,2772
20,2773
20,2777
20,2772
18,1762
18,2379
18,2381
18,2380
18,2381
18,2377
18,2381
18,2381
18,2380
18,2378
18,2378
18,2380
18,2380
18,2380
18,2380
18,2380
18,2380
18,2380
18,2382
18,2381
18,2382
18,2380
18,2380
18,2378
18,2382
18,2384
18,2380
18,2382
18,2382
18,2380
18,2384
18,2378
18,2381
18,2380
18,2383
18,2382
18,2380
18,2381
18,2382
18,2381
18,2380
18,2378
18,2380
18,2381
18,2380
18,2381
18,2379
18,2381
18,2381
18,2381
16,1902
16,2381
16,2384
16,2382
16,2380
16,2379
16,2381
16,2386
16,2380
16,2382
16,2381
16,2381
16,2385
16,2382
16,2379
16,2382
16,2381
16,2381
16,2381
16,2381
16,2382
16,2380
16,2380
16,2382
16,2381
16,2380
16,2381
16,2382
16,2380
16,2382
16,2381
16,2381
16,2382
16,2381
16,2381
16,2382
16,2381
16,2380
16,2386
16,2380
16,2380
16,2380
16,2381
16,2384
16,2381
16,2381
16,2381
16,2381
16,2384
16,2381
14,1876
14,2370
14,2371
14,2373
14,2372
14,2372
14,2370
14,2370
14,2375
14,2370
14,2370
14,2370
14,2370
14,2370
14,2369
14,2371
14,2372
14,2370
14,2370
14,2371
14,2371
14,2370
14,2367
14,2372
14,2372
14,2370
14,2371
14,2370
14,2372
14,2373
14,2370
14,2372
14,2371
14,2370
14,2372
14,2371
14,2371
14,2370
14,2370
14,2374
14,2372
14,2370
14,2371
14,2367
14,2372
14,2371
14,2370
14,2371
14,2372
14,2372
12,1874
12,2370
12,2368
12,2372
12,2368
12,2370
12,2368
12,2370
12,2368
12,2370
12,2367
12,2370
12,2370
12,2366
12,2367
12,2365
12,2366
12,2370
12,2369
12,2369
12,2368
12,2369
12,2369
12,2369
12,2366
12,2368
12,2370
12,2369
12,2367
12,2371
12,2370
12,2367
12,2371
12,2367
12,2370
12,2366
12,2370
12,2368
12,2369
12,2372
12,2370
12,2368
12,2370
12,2367
12,2370
12,2367
12,2369
12,2370
12,2367
12,2368
10,2370
10,2372
10,2370
10,2367
10,2370
10,2369
10,2370
10,2371
10,2368
10,2370
10,2370
10,2370
10,2371
10,2370
10,2367
10,2367
10,2368
10,2372
10,2371
10,2370
10,2372
10,2370
10,2369
10,2370
10,2368
10,2372
10,2372
10,2374
10,2370
10,2369
10,2371
10,2367
10,2371
10,2368
10,2369
10,2368
10,2370
10,2370
10,2369
10,2369
10,2370
10,2367
10,2369
10,2370
10,2367
10,2370
10,2370
10,2371
10,2369
10,2370
8,1855
8,2367
8,2364
8,2366
8,2367
8,2367
8,2365
8,2364
8,2365
8,2367
8,2366
8,2366
8,2367
8,2366
8,2365
8,2364
8,2362
8,2364
8,2366
8,2367
8,2367
8,2365
8,2364
8,2365
8,2363
8,2367
8,2366
8,2367
8,2364
8,2365
8,2366
8,2367
8,2366
8,2366
8,2362
8,2362
8,2366
8,2367
8,2367
8,2366
8,2366
8,2366
8,2364
8,2366
8,2366
8,2367
8,2366
8,2364
8,2363
8,2367
6,2370
6,2365
6,2364
6,2365
6,2365
6,2368
6,2366
6,2365
6,2366
6,2367
6,2366
6,2366
6,2366
6,2366
6,2362
6,2365
6,2362
6,2366
6,2365
6,2367
6,2367
6,2367
6,2367
6,2365
6,2367
6,2367
6,2365
6,2366
6,2366
6,2365
6,2367
6,2366
6,2365
6,2362
6,2362
6,2365
6,2365
6,2366
6,2367
6,2362
6,2366
6,2364
6,2367
6,2367
6,2365
6,2367
6,2367
6,2363
6,2363
6,2366
4,1252
4,2361
4,2363
4,2364
4,2367
4,2361
4,2364
4,2365
4,2363
4,2364
4,2364
4,2364
4,2367
4,2364
4,2365
4,2361
4,2360
4,2362
4,2364
4,2365
4,2363
4,2364
4,2366
4,2364
4,2361
4,2366
4,2363
4,2364
4,2364
4,2362
4,2364
4,2363
4,2364
4,2363
4,2362
4,2360
4,2361
4,2363
4,2363
4,2363
4,2360
4,2364
4,2364
4,2364
4,2363
4,2365
4,2364
4,2364
4,2362
4,2362
2,1132
2,2360
2,2357
2,2358
2,2360
2,2357
2,2356
2,2358
2,2358
2,2358
2,2359
2,2356
2,2358
2,2356
2,2357
2,2357
2,2354
2,2354
2,2356
2,2356
2,2360
2,2357
2,2358
2,2359
2,2358
2,2358
2,2359
2,2358
2,2358
2,2357
2,2358
2,2357
2,2360
2,2357
2,2360
2,2352
2,2354
2,2356
2,2356
2,2358
2,2357
2,2357
2,2357
2,2357
2,2358
2,2356
2,2358
2,2360
2,2358
2,2358
