height,ir
32,1977
32,2448
32,2449
32,2448
32,2449
32,2447
32,2449
32,2448
32,2448
32,2449
32,2449
32,2448
32,2448
32,2449
32,2451
32,2452
32,2449
32,2448
32,2450
32,2450
32,2453
32,2448
32,2449
32,2449
32,2448
32,2454
32,2448
32,2450
32,2448
32,2450
32,2452
32,2451
32,2452
32,2450
32,2449
32,2448
32,2446
32,2448
32,2450
32,2448
32,2449
32,2449
32,2449
32,2448
32,2448
32,2444
32,2450
32,2448
32,2448
32,2449
30,1964
30,2434
30,2434
30,2434
30,2436
30,2435
30,2434
30,2432
30,2433
30,2436
30,2433
30,2436
30,2434
30,2434
30,2435
30,2434
30,2434
30,2433
30,2438
30,2433
30,2434
30,2439
30,2434
30,2439
30,2433
30,2434
30,2434
30,2434
30,2438
30,2434
30,2434
30,2434
30,2435
30,2438
30,2433
30,2434
30,2437
30,2435
30,2432
30,2433
30,2432
30,2433
30,2435
30,2435
30,2435
30,2433
30,2434
30,2434
30,2434
30,2437
28,1947
28,2418
28,2418
28,2419
28,2418
28,2418
28,2418
28,2422
28,2418
28,2418
28,2417
28,2420
28,2418
28,2419
28,2420
28,2418
28,2418
28,2418
28,2418
28,2420
28,2424
28,2418
28,2421
28,2416
28,2420
28,2423
28,2419
28,2419
28,2419
28,2419
28,2424
28,2419
28,2422
28,2418
28,2418
28,2421
28,2418
28,2420
28,2418
28,2422
28,2419
28,2419
28,2418
28,2419
28,2418
28,2420
28,2420
28,2418
28,2418
28,2420
26,1793
26,2408
26,2408
26,2408
26,2407
26,2407
26,2408
26,2408
26,2408
26,2408
26,2408
26,2409
26,2403
26,2405
26,2405
26,2408
26,2411
26,2394
26,2398
26,2410
26,2404
26,2366
26,2409
26,2407
26,2408
26,2407
26,2365
26,2408
26,2407
26,2407
26,2409
26,2407
26,2406
26,2408
26,2410
26,2409
26,2405
26,2406
26,2407
26,2408
26,2407
26,2408
26,2407
26,2408
26,2408
26,2406
26,2406
26,2406
26,2407
26,2407
24,1782
24,2397
24,2400
24,2398
24,2400
24,2398
24,2398
24,2400
24,2397
24,2398
24,2400
24,2397
24,2400
24,2400
24,2397
24,2397
24,2396
24,2393
24,2394
24,2401
24,2397
24,2398
24,2400
24,2397
24,2394
24,2400
24,2398
24,2401
24,2398
24,2398
24,2392
24,2398
24,2402
24,2398
